Time,Benz,Type,mean,sem,lower,upper
2022-02-04T10:39:18Z,3.0000000000000004e-9,Specific,-3.333333333333332,4.109609335312651,-7.442942668645983,0.7762760019793191
2022-02-04T10:39:18Z,1e-8,Background,19.666666666666668,2.3333333333333335,17.333333333333336,22
2022-02-04T10:39:18Z,1e-8,Total,31.666666666666668,3.7564758898615485,27.91019077680512,35.42314255652822
2022-02-04T10:39:18Z,1e-8,Specific,12,4.422166387140534,7.577833612859466,16.422166387140535
2022-02-04T10:39:18Z,3.0000000000000004e-8,Background,40.666666666666664,0.881917103688197,39.78474956297847,41.54858377035486
2022-02-04T10:39:18Z,3.0000000000000004e-8,Total,64.66666666666667,2.0275875100994067,62.63907915656726,66.69425417676608
2022-02-04T10:39:18Z,3.0000000000000004e-8,Specific,24.000000000000007,2.211083193570267,21.78891680642974,26.211083193570275
2022-02-04T10:39:18Z,1.0000000000000001e-7,Background,174.66666666666666,4.8419463487779835,169.82472031788868,179.50861301544464
2022-02-04T10:39:18Z,1.0000000000000001e-7,Total,196.33333333333334,8.647414514048565,187.68591881928478,204.9807478473819
2022-02-04T10:39:18Z,1.0000000000000001e-7,Specific,21.666666666666686,9.910712498212337,11.755954168454348,31.577379164879023
2022-02-04T10:39:18Z,3.0000000000000004e-7,Background,453.6666666666667,22.908028675068874,430.7586379915978,476.57469534173555
2022-02-04T10:39:18Z,3.0000000000000004e-7,Total,555,18.58314648635514,536.4168535136448,573.5831464863552
2022-02-04T10:39:18Z,3.0000000000000004e-7,Specific,101.33333333333331,29.497645857103766,71.83568747622955,130.8309791904371
2022-02-04T10:39:18Z,1e-6,Background,1469,21.1266025033211,1447.873397496679,1490.126602503321
2022-02-04T10:39:18Z,1e-6,Total,1760.3333333333333,31.24811105402124,1729.0852222793121,1791.5814443873544
2022-02-04T10:39:18Z,1e-6,Specific,291.33333333333326,37.71972663975414,253.61360669357913,329.0530599730874
2022-02-04T11:23:24Z,1e-9,Background,4.666666666666667,1.666666666666667,3,6.333333333333334
2022-02-04T11:23:24Z,1e-9,Total,8.333333333333334,2.4037008503093262,5.929632483024008,10.73703418364266
2022-02-04T11:23:24Z,1e-9,Specific,3.666666666666667,2.924988129130708,0.7416785375359591,6.591654795797375
2022-02-04T11:23:24Z,3.0000000000000004e-9,Background,10.666666666666666,0.881917103688197,9.784749562978469,11.548583770354863
2022-02-04T11:23:24Z,3.0000000000000004e-9,Total,11.666666666666666,1.763834207376394,9.902832459290272,13.43050087404306
2022-02-04T11:23:24Z,3.0000000000000004e-9,Specific,1,1.972026594366539,-0.9720265943665389,2.9720265943665387
2022-02-04T11:23:24Z,1e-8,Background,20,3.0550504633038935,16.944949536696107,23.055050463303893
2022-02-04T11:23:24Z,1e-8,Total,25,3.0550504633038935,21.944949536696107,28.055050463303893
2022-02-04T11:23:24Z,1e-8,Specific,5,4.320493798938574,0.6795062010614261,9.320493798938575
